"","Host.Id","Host.Since","Name","Neighbourhood","Property.Type","Review.Scores.Rating..bin.","Room.Type","Zipcode","Beds","Number.of.Records","Number.Of.Reviews","Price","Review.Scores.Rating"
"1",5162530,"","1 Bedroom in Prime Williamsburg","Brooklyn","Apartment",NA,"Entire home/apt",11249,1,1,0,"145",NA
"2",33134899,"","Sunny, Private room in Bushwick","Brooklyn","Apartment",NA,"Private room",11206,1,1,1,"37",NA
"3",39608626,"","Sunny Room in Harlem","Manhattan","Apartment",NA,"Private room",10032,1,1,1,"28",NA
"4",500,"6/26/2008","Gorgeous 1 BR with Private Balcony","Manhattan","Apartment",NA,"Entire home/apt",10024,3,1,0,"199",NA
"5",500,"6/26/2008","Trendy Times Square Loft","Manhattan","Apartment",95,"Private room",10036,3,1,39,"549",96
"6",1039,"7/25/2008","Big Greenpoint 1BD w/ Skyline View","Brooklyn","Apartment",100,"Entire home/apt",11222,1,1,4,"149",100
"7",1783,"8/12/2008","Amazing Also","Manhattan","Apartment",100,"Entire home/apt",10004,1,1,9,"250",100
"8",2078,"8/15/2008","Colorful, quiet, & near the subway!","Brooklyn","Apartment",90,"Private room",11201,1,1,80,"90",94
"9",2339,"8/20/2008","East Village Cocoon: 2 Bedroom Flat","Manhattan","Apartment",90,"Entire home/apt",10009,2,1,95,"270",90
"10",2339,"8/20/2008","Lovely 2 Bedroom East Village Nest","Manhattan","Apartment",95,"Entire home/apt",10009,2,1,23,"290",96
"11",2571,"8/27/2008","THE PUTNAM","Brooklyn","Apartment",95,"Entire home/apt",11221,2,1,14,"170",98
"12",2758,"9/6/2008","Stay at Chez Chic budget room #1","Manhattan","Apartment",90,"Private room",10026,2,1,120,"59",93
"13",2758,"9/6/2008","Stay at Chez Chic budget Room #2","Manhattan","Apartment",90,"Private room",10026,2,1,81,"49",91
"14",2787,"9/7/2008","Renovated and spacious townhome","Brooklyn","House",NA,"Private room",11223,1,1,0,"68",NA
"15",2845,"9/9/2008","Midtown Castle","Manhattan","Apartment",95,"Entire home/apt",10018,1,1,17,"285",97
"16",2881,"9/10/2008","Newly renovated historic brownstone","Brooklyn","Apartment",95,"Private room",11216,1,1,32,"75",95
"17",2965,"9/14/2008","Large Bedroom in 3-bedroom Apt.","Manhattan","Apartment",95,"Private room",10025,1,1,52,"145",99
"18",3211,"9/25/2008","Elegant NYC, 10mins to Manhattan!","Queens","Apartment",90,"Private room",11106,1,1,3,"100",93
"19",3227,"9/26/2008","Priv Apt,Garden,BBQ,A/C,BigTV,for 4","Manhattan","Apartment",85,"Entire home/apt",10001,3,1,171,"150",85
"20",3226,"9/26/2008","Great 3 Bed Apt Tribeca / Soho","Manhattan","Apartment",NA,"Entire home/apt",10013,3,1,0,"700",NA
"21",3226,"9/26/2008","Huge Room Soho LOFT off WBroadway","Manhattan","Apartment",85,"Private room",10013,1,1,9,"125",86
"22",3226,"9/26/2008","Master Room Soho LOFT off WBroadway","Manhattan","Apartment",NA,"Private room",10013,1,1,0,"175",NA
"23",3415,"10/2/2008","Beautiful Furnished Master Bedroom","Queens","House",NA,"Private room",11365,1,1,0,"90",NA
"24",3563,"10/10/2008","16' x 11' Furnished BR with Balcony","Brooklyn","Apartment",100,"Private room",11220,1,1,1,"40",100
"25",3647,"10/14/2008","Conveniently Queens with Two Rooms","Queens","Apartment",90,"Entire home/apt",11373,1,1,4,"89",93
"26",3647,"10/14/2008","Quality Cozy Studio Next to Subway","Queens","Apartment",90,"Entire home/apt",11373,1,1,16,"95",94
"27",3647,"10/14/2008","Queens Quality Convenient Apartment","Queens","Apartment",100,"Entire home/apt",11373,2,1,9,"99",100
